id,word,meaning,example,level_en_cs,level_cs_en,practiced_en_cs,practiced_cs_en,topic
1,bewildered,zmatený,She looked bewildered when she heard the strange news.,4,6,2026-09-25,2026-09-24,general
2,common feature,"společný rys, vlastnost",Both houses share a common feature: a large garden in the back.,6,6,2026-09-26,2026-09-25,general
3,if you want,pokud chcete,"If you want, we can meet for coffee tomorrow.",6,6,2026-09-26,2026-09-24,general
4,plead,"prosit, přiznat se (u soudu)",He decided to plead guilty in court.,6,6,2026-09-25,2026-09-26,general
5,plea,"prosba, žádost",The lawyer entered a plea of not guilty on behalf of his client.,3,3,2026-09-25,2026-09-24,general
6,amid,"uprostřed, mezi",She remained calm amid the chaos of the busy market.,6,5,2026-09-26,2026-09-23,general
7,should you want,"kdybyste chtěl, pokud byste chtěl","Should you want any help, just let me know.",3,3,2026-09-23,2026-09-26,general
8,need to,"muset, potřebovat",I need to finish this report by tomorrow.,3,6,2026-09-24,2026-09-26,general
9,how long will it take,jak dlouho to potrvá,How long will it take to fix the car?,5,4,2026-09-24,2026-09-26,general
10,elfin forest,"skřítčí les, zakrslý horský les","The trail wound through an elfin forest of stunted, moss-covered trees near the mountaintop.",3,3,2026-09-25,2026-09-26,general
